espn_id,player_name,euro_id
1273,Brett Melton,NA
NA,Brett Munson,41057
363,Brett Quigley,30629
NA,Brett Rankin,39064
570,Brett Rumford,30705
1673,Brett Stegmaier,NA
4372451,Brett Viboch,NA
689,Brett Wetterich,NA
NA,Breyten Meyer,41021
10556,Brian Bullington,NA
9525,Brian Campbell,NA
NA,Brian Casey,38958
1049,Brian Davis,NA
4924,Brian Dwyer,NA
4735,Brian Gaffney,NA
159,Brian Gay,NA
1225,Brian Harman,NA
10938,Brian Hughes,NA
4422372,Brian Mackey,NA
6051,Brian Maurer,NA
NA,Brian Njoroge,34589
9627,Brian Norman,NA
6741,Brian Richey,NA
1631,Brian Rowell,NA
3262,Brian Smock,NA
3599,Brian Stuard,NA
2283,Brice Garnett,NA
9130,Brinson Paolini,39428
6841,Brittany Lincicome,NA
4358071,Broc Everett,NA
1258,Brock Mackenzie,NA
NA,Brody Martin,43214
1626,Bronson Burgoon,NA
3447,Bronson La'Cassie,NA
11007,Brooks Blackburn,NA
6798,Brooks Koepka,38783
4411521,Bruce Doucett,NA
1640,Bruce McDonald,NA
10040,Bruce Woodall,NA
5960,Bryan Bigley,NA
9598,Bryan Martin,NA
NA,Bryandrew Roelofsz,41061
NA,Bryce Bibby,39860
5842,Bryce Easton,37986
4355468,Bryce Edmister,NA
4426185,Bryce Emory,NA
312,Bryce Molder,NA
NA,Bryce Myburgh,43182
NA,Bryden Macpherson,38235
6046,Bryden MacPherson,NA
NA,Bryn Flanagan,40426
640,Bryn Parry,NA
10046,Bryson DeChambeau,40617
4415125,Bryson Nimmer,NA
780,Bubba Watson,33393
5338,Bud Cauley,38195
NA,Bulent Karatas,37428
5285,Byeong Hun An,37405
9845,Byron Meth,NA
3529,Byron Smith,NA
NA,Byungjun Kim,38699
NA,C Muniyappa,35963
NA,C.J Wangai,39208
6017,C.T. Pan,35295
NA,Cahit Kaya,36313
NA,Cajsa Persson,43260
NA,Callan O'reilly,40158
NA,Callie Swart,1394
4566998,Callum Bruce,NA
NA,Callum Macaulay,35614
NA,Callum Mowat,39859
9258,Callum Shinkwin,39620
11376,Callum Tarren,41432
NA,Calum Fyfe,43778
10102,Calum Hill,42648
28,Cameron Beckman,NA
10590,Cameron Bishop,NA
11098,Cameron Champ,41760
10863,Cameron Davis,41129
NA,Cameron Esau,42370
NA,Cameron John,42837
NA,Cameron Moralee,41033
1121,Cameron Percy,NA
NA,Cameron Raymond,43031
NA,Cameron Shaw,40704
9131,Cameron Smith,40070
4645,Cameron Tringale,NA
9532,Cameron Wilson,NA
4425906,Cameron Young,NA
4700282,Camiko Smith,NA
NA,Camilla Lennarth,43275
NA,Camille Bordone,43093
NA,Camille Chevalier,43257
4412165,Camilo Aguado,NA
1264,Camilo Villegas,NA
NA,Campbell Rawson,41964
856,Carl Pettersson,NA
NA,Carl Suneson,4549
9951,Carl Yuan,NA
NA,Carlo Casalegno,40796
NA,Carlos Balmaseda,6138
NA,Carlos Del Moral,34110
142,Carlos Franco,NA
5532,Carlos Ortiz,NA
NA,Carlos Pigem,36725
NA,Carlos Rodiles,2391
9027,Carlos Sainz Jr.,NA
NA,Carly Booth,40438
NA,Carmen Alonso,43286
NA,Caroline Hedwall,43255
11114,Carson Jacobs,NA
10129,Carson Schaake,NA
11143,Carson Young,NA
6000,Carter Jenkins,NA
4569919,Carter Page,NA
9477,Case Cochran,NA
11242,Casey Flenniken,NA
NA,Casey Jarvis,43957
NA,Casey O'toole,41064
11022,Casey Russell,NA
822,Casey Wittenberg,NA
NA,Caylum Boon,43937
NA,Cédric Gugler,42955
NA,Cédric Menut,32155
NA,Cedric Van Wassenhove,38148
NA,Cennydd Mills,34823
NA,Cesar Costilla,34237
NA,Cesar Monasterio,1253
68,Chad Campbell,NA
1646,Chad Collins,NA
3816,Chad Proehl,NA
10057,Chad Ramey,NA
9878,Chad Sorensen,NA
5724,Chan Kim,NA
10852,Chan Shih-chang,NA
NA,Chanachok Dejpiratanamongkol,41294
4618114,Chandler Blanchet,NA
4425897,Chandler Eaton,NA
4587989,Chandler Phillips,NA
NA,Chang Gi Lee,44013
NA,Changlei Zhang,37419
NA,Changping Chen,40363
NA,Chanwoo Kim,42353
NA,Chao Li,33284
NA,Chao Song,39766
NA,Chapchai Nirat,34470
NA,Charl Coetzee,34487
1097,Charl Schwartzel,32014
NA,Charles-Edouard Russo,33045
NA,Charles Bull,41479
4589,Charles Frost,NA
10185,Charles Harrison,NA
NA,Charles Hebert,41956
208,Charles Howell III,NA
NA,Charles Larcelet,43829
11398,Charles Reiter,NA
10376,Charles Wang,NA
NA,Charles Wright,41009
205,Charley Hoffman,32053
3777,Charlie Beljan,NA
NA,Charlie Bolling,17
10442,Charlie Danielson,41202
NA,Charlie Dann,43966
NA,Charlie Ford,37003
8935,Charlie Holland,NA
10719,Charlie Saxon,40839
925,Charlie Wi,NA
NA,Charlotte Leathem,43261
6183,Chas Narramore,NA
11206,Chase Hanna,42830
4683964,Chase Johnson,NA
10714,Chase Koepka,41193
10365,Chase Marinell,NA
10579,Chase Parker,NA
8975,Chase Seiffert,NA
7039,Chase Wright,NA
NA,Chawalit Plaphol,423
NA,Chen Xiao Duan,37141
NA,Cheng Jin,39269
NA,Cheng Xiong,39774
NA,Chengxiang Liu,41579
NA,Chengyao Ma,39762
5704,Chesson Hadley,NA
769,Chez Reavie,NA
NA,Chi-hsien Hsieh,39242
NA,Chi Huang,43894
NA,Chieh-po Lee,41058
NA,Chien-yao Hung,38084
NA,Ching-Hung Su,44039
NA,Chinnarat Phadungsil,34457
2125,Chip Deason,NA
9799,Chip Lynn,NA
4362864,Chip McDaniel,NA
NA,Chiragh Kumar,37992
NA,Chris Akers,41572
4628,Chris Baker,NA
9078,Chris Brant,NA
1177,Chris Couch,NA
4364744,Chris Crisologo,NA
105,Chris DiMarco,NA
NA,Chris Doak,30489
NA,Chris Duke,41595
8929,Chris Evans,NA
NA,Chris Gane,3107
NA,Chris Gaunt,30660
9842,Chris Gilley,NA
9299,Chris Gilman,NA
4690755,Chris Gotterup,NA
NA,Chris Hanson,34922
NA,Chris Kelly,31176
3449,Chris Kirk,NA
NA,Chris Lloyd,37610
NA,Chris Meyer,41878
11232,Chris Moody,NA
8876,Chris Naegel,NA
10998,Chris Nido,NA
5683,Chris Paisley,37086
372,Chris Riley,NA
NA,Chris Robb,40066
NA,Chris Selfridge,36851
395,Chris Smith,NA
1352,Chris Stroud,35459
NA,Chris Swanepoel,33844
4426307,Chris Tallman,NA
3279,Chris Thompson,NA
426,Chris Tidland,NA
4695730,Chris Wiatr,NA
4617,Chris Wilson,NA
3839,Chris Wood,35531
NA,Christiaan Basson,35069
9243,Christiaan Bezuidenhout,39790
NA,Christian Aronsen,25968
NA,Christian Baech,40289
NA,Christian Braeunig,38425
6146,Christian Brand,NA
NA,Christian Dahl,42733
NA,Christian Gloet,38928
NA,Christian Heavens,41117
NA,Christian Maas,100041
NA,Christine Wolf,43264
NA,Christo Lamprecht,42373
NA,Christofer Blomstrand,39599
NA,Christoffer Baumann,41981
NA,Christoph Bleier,100002
NA,Christoph Koerbler,40207
NA,Christoph Pfau,34810
NA,Christophe Brazillier,1460
4349548,Christopher Babcock,NA
NA,Christopher Cannon,38036
NA,Christopher Carstensen,40845
10576,Christopher Crawford,NA
NA,Christopher Fan,43209
NA,Christopher Feldborg Nielsen,38983
NA,Christopher Fisher,39929
NA,Christopher Mccourt,42361
NA,Christopher Mivis,34666
11116,Christopher O'Neill,NA
4422179,Christopher Petefish,NA
NA,Christopher Sahlstrom,40259
6155,Christopher Ward,NA
NA,Christopher Wood,39059
4349547,Chun An Yu,NA
NA,Chun Liu,40365
NA,Cian Mcnamara,34833
NA,Ciaran Boggan,40695
NA,CJ Du Plessis,39864
NA,Claes Isaksson,40840
NA,Clancy Waugh,42824
NA,Clark Dennis,1368
NA,Clarke Lutton,38451
NA,Clayton Bridges,41548
NA,Clayton Mansfield,43977
11018,Clayton Portz,NA
5412,Clayton Rask,NA
NA,Clemens Gaster,41159
NA,Clemens Prader,25977
NA,Clément Batut,38887
NA,Clément Berardo,37792
NA,Clément Rameaux,38895
10230,Clement Sordet,NA
NA,Clément Sordet,39466
255,Cliff Kresge,32771
NA,Clifford Maye,42180
NA,Clinton Grobler,42371
10704,Cody Blick,NA
8971,Cody Gribble,NA
NA,Cody Martin,41845
10610,Cody Paladino,NA
6802,Cody Proveaux,NA
NA,Coert Groenewald,39123
10047,Cole Hammer,NA
6025,Cole Howard,NA
4349563,Cole Miller,NA
4401226,Cole Nygren,NA
4684204,Cole Ponich,NA
NA,Colin Fairweather,42022
10997,Colin Monagle,NA
313,Colin Montgomerie,2586
NA,Colin Nel,33930
10592,Collin Morikawa,43410
NA,Colm Campbell Jnr,40244
NA,Colm Campbell Jnr,40791
NA,Colm Crowley,42208
NA,Colm Moriarty,31602
1793,Colt Knost,NA
NA,Combrinck Smit,42365
10761,Conner Godsey,NA
6781,Connor Arendell,38930
4684383,Connor Howe,NA
10983,Connor Syme,41226
NA,Conor Gough,43318
NA,Conor O'neil,40885
NA,Conor O'rourke,41417
NA,Conor Purcell,43207
7160,Conrad Shindler,NA
NA,Conway Kunneke,43185
4361932,Cooper Musselman,NA
6693,Corbin Mills,NA
9126,Corey Conners,NA
NA,Corey Hale,39084
5693,Corey Nagy,NA
344,Corey Pavin,NA
10138,Corey Pereira,NA
NA,Cormac Sharvin,40242
NA,Corrado De Stefani,38859
NA,Corsin Caviezel,40073
10322,Cory Cooper,NA
NA,Cory Crawford,41551
4337384,Cory Howard,NA
6935,Cory Renfrew,NA
3307,Cory Schneider,NA
6928,Cory Whitsett,NA
21,Craig Barlow,NA
47,Craig Bowden,NA
9607,Craig Brischke,NA
NA,Craig Farrelly,31555
NA,Craig Hinton,36328
6608,Craig Hocknull,41574
NA,Craig Howie,42135
NA,Craig Lawrie,40007
NA,Craig Lee,31554
NA,Craig Parry,4113
NA,Craig Ross,40649
NA,Craig Sutherland,32062
9476,Crawford Reeves,NA
NA,Cristiano Terragni,34362
4566999,Cullan Brown,NA
NA,Curtis Griffiths,38914
4566630,Curtis Knipes,43515
10910,Curtis Luck,41321
10371,Curtis Reed,NA
9687,Curtis Thompson,NA
9265,Cyril Bouniol,39468
NA,Cyril Suk,40050
NA,D A Points,36203
1196,D.A. Points,NA
7107,D.H. Lee,NA
431,D.J. Trahan,NA
NA,Daan Huizing,35810
NA,Daehyun Kim,35996
NA,Daeng Abd Rahman Abd Aziz,40442
NA,Daeng Abdul Rahman,41640
NA,Daihan Lee,42216
6657,Daisuke Kataoka,38629
10194,Dalan Refioglu,NA
NA,Dale Brandt-Richards,41569
NA,Dale Whitnell,36453
NA,Dale Williamson,43158
10523,Dalton Rich,NA
10197,Dalton Ward,NA
NA,Damian Mooney,9603
NA,Damian Ulrich,34311
NA,Damien Jordan,41554
NA,Damien Mcgrane,1107
NA,Damien Perrier,35736
