tour,season,tournament_id,tournament_name,par,yards,course,location
euro,2018,2018004,BMW SA Open hosted by the City of Ekurhuleni,,,Glendower GC," City of Ekurhuleni, Gauteng, South Africa"
euro,2018,2018006,EURASIA CUP presented by DRB-HICOM,,,Glenmarie G & CC," Kuala Lumpur, Malaysia"
euro,2018,2018008,Abu Dhabi HSBC Championship presented by EGA,,,Abu Dhabi GC," Abu Dhabi, UAE"
euro,2018,2018010,Omega Dubai Desert Classic,,,Emirates GC," Dubai, UAE"
euro,2018,2018012,Maybank Championship,,,Saujana G&CC," Kuala Lumpur, Malaysia"
euro,2018,2018014,ISPS Handa World Super 6 Perth,,,Lake Karrinyup CC," Perth, Australia"
euro,2018,2018016,NBO Oman Open,,,Al Mouj Golf," Muscat, Oman"
euro,2018,2018018,Commercial Bank Qatar Masters,,,Doha GC," Doha, Qatar"
euro,2018,2018021,Tshwane Open,,,Pretoria CC," Waterkloof, South Africa"
euro,2018,2018022,Hero Indian Open,,,DLF G&CC," New Delhi, India"
euro,2018,2018032,Open de España,,,Centro Nacional de Golf," Madrid, Spain"
euro,2018,2018034,Trophee Hassan II,,,Royal Golf Dar Es Salam," Rabat, Morocco"
euro,2018,2018036,Volvo China Open,,,Topwin Golf & CC," Beijing, China"
euro,2018,2018038,GolfSixes,,,Centurion Club," St Albans, England"
euro,2018,2018040,Rocco Forte Sicilian Open,,,Verdura GC," Agrigento, Sicily, Italy"
euro,2018,2018042,Belgian Knockout,,,Rinkven International GC," Antwerp, Belgium"
euro,2018,2018044,BMW PGA Championship,,,Wentworth Golf Club," Virginia Water, Surrey, England"
euro,2018,2018046,Italian Open,,,Gardagolf CC," Brescia, Italy"
euro,2018,2018048,Shot Clock Masters,,,Diamond CC," Atzenbrugg, near Vienna, Austria"
euro,2018,2018052,BMW International Open,,,Golf Club Gut Laerchenhof," Pulheim, Germany"
euro,2018,2018054,HNA Open de France,,,Le Golf National," Paris, France"
euro,2018,2018056,Dubai Duty Free Irish Open hosted by the Rory Foundation,,,Ballyliffin GC," Co. Donegal, Ireland"
euro,2018,2018058,Aberdeen Standard Investments Scottish Open,,,Gullane GC," Gullane, East Lothian, Scotland"
euro,2018,2018062,Porsche European Open,,,Green Eagle Golf Courses," Hamburg, Germany"
euro,2018,2018065,Fiji International presented by Fiji Airways,,,Natadola Bay GC," Natadola, Fiji"
euro,2018,2018067,European Golf Team Championships,,,Gleneagles," Auchterarder, Perthshire, Scotland"
euro,2018,2018068,Nordea Masters,,,Hills Golf & Sports Club," Gothenburg, Sweden"
euro,2018,2018070,D+D Real Czech Masters,,,Albatross Golf Resort," Prague, Czech Republic"
euro,2018,2018072,Made In Denmark,,,Silkeborg Ry GC," Aarhus, Denmark"
euro,2018,2018074,Omega European Masters,,,Crans-sur-Sierre GC," Crans Montana, Switzerland"
euro,2018,2018076,KLM Open,,,The Dutch," Spijk, Netherlands"
euro,2018,2018078,Portugal Masters,,,Dom Pedro Victoria Golf Course," Vilamoura, Portugal"
euro,2018,2018080,Alfred Dunhill Links Championship,,,Old Course St. Andrews," Carnoustie & Kingsbarns, Scotland"
euro,2018,2018082,Sky Sports British Masters,,,Kingsbarns Golf Links," Kingsbarns, Scotland"
euro,2018,2018084,Andalucia Valderrama Masters hosted by the Sergio Garcia Foundation,,,Carnoustie," Angus, Scotland"
euro,2018,2018088,Turkish Airlines Open,,,Real Club Valderrama," Sotogrande, Spain"
euro,2018,2018089,Nedbank Golf Challenge hosted by Gary Player,,,Sheshan International GC," Shanghai, China"
euro,2018,2018090,"DP World Tour Championship, Dubai",,,Regnum Carya Golf & Spa Resort," Antalya, Turkey"
euro,2018,2018091,2018 ISPS Handa Melbourne World Cup of Golf,,,Gary Player CC," Sun City, South Africa"
euro,2017,2016096,Australian PGA Championship,,,RACV Royal Pines Resort," Gold Coast, Queensland, Australia"
euro,2017,2016098,UBS Hong Kong Open,,,Hong Kong GC," Fanling, Hong Kong"
euro,2017,2017002,BMW SA Open hosted by City of Ekurhuleni,,,Glendower GC," City of Ekurhuleni, Gauteng, South Africa"
euro,2017,2017004,Abu Dhabi HSBC Championship,,,Abu Dhabi GC," Abu Dhabi, UAE"
euro,2017,2017006,Commercial Bank Qatar Masters,,,Doha GC," Doha, Qatar"
euro,2017,2017008,Omega Dubai Desert Classic,,,Emirates GC," Dubai, UAE"
euro,2017,2017010,Maybank Championship,,,Saujana G&CC," Kuala Lumpur, Malaysia"
euro,2017,2017012,ISPS HANDA World Super 6 Perth,,,Lake Karrinyup CC," Perth, Australia"
euro,2017,2017014,Joburg Open,,,Royal Johannesburg & Kensington GC," Johannesburg, South Africa"
euro,2017,2017018,Tshwane Open,,,Pretoria CC," Waterkloof, South Africa"
euro,2017,2017020,Hero Indian Open,,,DLF G&CC," New Delhi, India"
euro,2017,2017030,Trophee Hassan II,,,Royal Golf Dar Es Salam," Rabat, Morocco"
euro,2017,2017032,Shenzhen International,,,Genzon GC," Shenzhen, China"
euro,2017,2017034,Volvo China Open,,,Topwin Golf & CC," Beijing, China"
euro,2017,2017038,Open de Portugal at Morgado Golf Resort,,,Morgado G&CC," Portimao, Portugal"
euro,2017,2017040,"Rocco Forte Open - Verdura, Sicily",,,Verdura GC," Agrigento, Sicily, Italy"
euro,2017,2017042,BMW PGA Championship,,,Wentworth Golf Club," Virginia Water, Surrey, England"
euro,2017,2017044,Nordea Masters,,,Barsebäck G&CC," Malmö, Sweden"
euro,2017,2017046,LYONESS OPEN powered by ORGANIC+,,,Diamond CC," Atzenbrugg, near Vienna, Austria"
euro,2017,2017050,BMW International Open,,,Golfclub München Eichenried," Munich, Germany"
euro,2017,2017052,HNA Open de France,,,Le Golf National," Paris, France"
euro,2017,2017054,Dubai Duty Free Irish Open hosted by the Rory Foundation,,,Portstewart GC," Co. Derry / Co. Londonderry, Northern Ireland"
