player_name,avg_dk_pts_gained,min_dk_pts_gained,max_dk_pts_gained,win_dk,top5_dk,top10_dk,top20_dk,tournament_id,sim_type
Bubba Watson,14.748753698114315,-12.214281044276914,69.2789644741535,1.28,6.7,13.469999999999999,26.85,401056513,adjusted_with_course_fit
Byeong Hun An,14.543902595843544,-16.33418876087534,61.541187378812396,1.3599999999999999,7.049999999999999,14.16,26.479999999999997,401056513,adjusted_with_course_fit
Zach Johnson,14.212438753607472,-13.130762683054062,59.90778251920389,1.3299999999999998,6.52,13.320000000000002,26.029999999999998,401056513,adjusted_with_course_fit
Kevin Na,13.699563421234663,-17.086786587081612,64.5885092363549,1.26,6.550000000000001,13.23,25.130000000000003,401056513,adjusted_with_course_fit
Cameron Smith,13.681068907391369,-13.218433714004593,59.12241877946039,1.0699999999999998,6.03,12.280000000000001,24.29,401056513,adjusted_with_course_fit
Cameron Champ,12.754140440610216,-16.135659494688884,55.77099163249029,1.53,6.81,12.34,23.549999999999997,401056513,adjusted_with_course_fit
Chez Reavie,12.920938239122266,-15.931448936744617,58.11612345737547,1.06,6.0600000000000005,11.5,23.23,401056513,adjusted_with_course_fit
Matt Kuchar,13.315653232717633,-13.100329801415064,57.0150545367492,0.8500000000000001,4.93,10.83,22.32,401056513,adjusted_with_course_fit
Beau Hossler,12.781333328832694,-17.896374424157816,64.15719518023681,0.9900000000000001,5.3100000000000005,11.07,21.9,401056513,adjusted_with_course_fit
Branden Grace,12.260580795005792,-14.642506568564693,62.77103383225233,1.1199999999999999,5.56,10.9,21.240000000000002,401056513,adjusted_with_course_fit
Sam Burns,11.287116116837598,-18.149336832155978,65.9841358082749,1.46,6.05,11.25,21.13,401056513,adjusted_with_course_fit
J.B. Holmes,12.110534076378356,-15.606191420910392,58.70848080587055,0.86,5.21,10.4,20.72,401056513,adjusted_with_course_fit
Russell Knox,11.989051525467215,-13.355349243904943,60.662853462024444,0.9900000000000001,4.92,10.23,20.52,401056513,adjusted_with_course_fit
Martin Laird,11.817462032071033,-15.606451131299815,63.417330690150294,0.8699999999999999,5.050000000000001,10.16,19.900000000000002,401056513,adjusted_with_course_fit
Steve Stricker,12.017031955486624,-14.555441552004055,57.54069208093644,0.76,4.43,9.49,19.79,401056513,adjusted_with_course_fit
Joaquin Niemann,11.498055662536819,-17.314710714081997,59.15491739060333,1.04,5,9.74,19.35,401056513,adjusted_with_course_fit
Daniel Berger,12.081034140711004,-14.786017394809631,54.36524308966286,0.61,3.83,8.81,19.3,401056513,adjusted_with_course_fit
Jason Kokrak,11.475613588180668,-17.26428507726711,56.02367049048315,0.8699999999999999,4.79,9.73,19.139999999999997,401056513,adjusted_with_course_fit
Peter Uihlein,11.33226152881304,-16.944376047249694,56.22264251967161,0.67,4.32,9.120000000000001,19,401056513,adjusted_with_course_fit
Kiradech Aphibarnrat,11.322696320671342,-19.610739962944564,63.142581711216536,0.7799999999999999,4.279999999999999,8.72,18.66,401056513,adjusted_with_course_fit
Kyle Stanley,11.716021881263762,-16.557097753804396,64.89223350125805,0.66,3.75,8.200000000000001,18.45,401056513,adjusted_with_course_fit
Chris Kirk,11.116420732822569,-16.592364275654628,60.793717852399226,0.5599999999999999,3.81,8.62,18.37,401056513,adjusted_with_course_fit
Brandt Snedeker,11.090383561026348,-15.869386930139799,57.4519404558922,0.74,4.279999999999999,9.030000000000001,18.3,401056513,adjusted_with_course_fit
Keith Mitchell,10.951732063463794,-18.349973135983966,53.1267339114398,0.69,3.93,8.5,17.86,401056513,adjusted_with_course_fit
