tournament_round_id,hole,umap_1,umap_2,par,yards,adj_field_dk_avg,.cluster,hole_category
2018010_1_1,9,4.776569843292236,-9.2328033447265625,4,463,0.6050434097781985,2,hard
2018010_1_1,9,4.776569843292236,-9.2328033447265625,5,463,0.6050434097781985,2,hard
2018010_1_1,9,4.776569843292236,-9.2328033447265625,5,463,0.6050434097781985,2,hard
2018010_1_1,10,2.4094159603118896,10.620657920837402,5,549,1.9345888643236528,3,easy
2018010_1_1,11,-8.263968467712402,7.325570106506348,3,170,1.0823161370509258,1,medium
2018010_1_1,12,6.759799003601074,-7.169195175170898,4,476,0.7111040158388044,1,medium
2018010_1_1,13,1.5020571947097778,11.232203483581543,5,550,1.843679773414562,3,easy
2018010_1_1,14,9.585853576660156,2.7528207302093506,4,434,1.0330737128085015,1,medium
2018010_1_1,15,-13.12091064453125,4.375860214233398,3,190,0.7451949249297136,1,medium
2018010_1_1,16,10.73747730255127,1.4389082193374634,4,436,0.9724676522024409,1,medium
2018010_1_1,17,0.24868306517601013,4.80925989151001,4,359,1.3664070461418347,1,medium
2018010_1_1,18,2.1936299800872803,10.97677993774414,5,564,1.9383767431115317,3,easy
2018010_1_2,1,7.307126522064209,-8.669677734375,4,458,0.6542858340206554,2,hard
2018010_1_2,2,1.5039770603179932,3.857062339782715,4,351,1.1732252279600495,1,medium
2018010_1_2,3,-1.9968016147613525,13.306715965270996,5,568,1.5633767431115646,3,easy
2018010_1_2,4,-10.884750366210937,4.559241771697998,3,180,0.7944373491721706,1,medium
2018010_1_2,5,8.985453605651855,-5.412054061889648,4,451,0.7792858340206554,1,medium
2018010_1_2,6,4.103494167327881,-8.109673500061035,4,484,0.6126191673539887,2,hard
2018010_1_2,7,-12.543840408325195,3.3751025199890137,3,186,0.7111040158388372,1,medium
2018010_1_2,7,-12.543840408325195,3.3751025199890137,3,186,0.7111040158388372,1,medium
2018010_1_2,7,-12.543840408325195,3.3751025199890137,4,186,0.7111040158388372,1,medium
2018010_1_2,7,-12.543840408325195,3.3751025199890137,4,186,0.7111040158388372,1,medium
2018010_1_2,8,8.2392425537109375,-7.0998711585998535,4,459,0.7262555309903523,1,medium
2018010_1_2,9,7.893681049346924,-6.972934246063232,4,463,0.7262555309903523,1,medium
2018010_1_2,10,1.033818244934082,11.566372871398926,5,549,1.7944373491721706,3,easy
2018010_1_2,11,-8.300626754760742,7.181110382080078,3,170,1.0633767431115646,1,medium
2018010_1_2,12,1.1643598079681396,-9.64491081237793,4,476,0.5027706825055038,2,hard
2018010_1_2,13,1.2900559902191162,11.456599235534668,5,550,1.820952500687322,3,easy
2018010_1_2,14,7.216818809509277,-3.1027674674987793,4,434,0.8095888643236857,1,medium
2018010_1_2,15,-9.964587211608887,7.191816329956055,3,190,0.9459525006873221,1,medium
2018010_1_2,16,9.947901725769043,2.4030256271362305,4,436,1.0179221976570192,1,medium
